,F1,F2,F3,F4,F5
1,0.2660662259,0.5584802315,0.8941189628,0.6449296829,2.363595103
2,0.5520347842,0.6669279524,0.6164922958,0.3362703028,2.171725335
3,0.4765387986,0.6346796818,0.6806741049,0.4103867618,2.202279347
4,0.6709653794,0.8044435381,0.7337763283,0.396152801,2.605338047
5,0.4803060579,0.731702453,NA,NA,NA
6,0.7262667141,0.7814462404,NA,0.2468965748,2.323960463
7,0.6339644737,0.7156338842,NA,0.2837644424,2.214731374
8,0.5506415096,0.6985501804,NA,NA,2.351274587
9,0.4784201593,0.5897147897,NA,0.31530761,1.947248389
10,NA,0.6351273339,0.6795016391,0.4090872169,NA
11,0.4995075363,0.5828923005,0.5060105387,0.2623592486,1.850769624
12,0.7173920432,0.8148832814,0.6706546996,0.3314436414,2.534373666
13,0.3374426497,0.6369424376,NA,0.67258154,2.601228404
14,NA,NA,0.5605430169,0.2338991033,NA
15,0.2766706479,0.558349189,0.8733655986,0.625024926,2.333410362
16,0.4908675986,0.7358283397,0.9078226657,0.5898955094,2.724414114
17,0.7511589606,0.8112297048,0.5964205176,0.261469842,2.420279025
18,NA,NA,0.5581220375,NA,2.038184466
19,0.7962251435,0.8538691363,0.6170145855,0.264872049,2.531980914
20,0.8926096889,0.9207412596,0.5998037715,0.222603142,2.635757862
21,0.2433074565,0.4820524145,0.7454657943,0.5313892582,2.002214924
22,0.2157179734,0.5086770322,0.865655688,0.6367162261,2.22676692
23,0.5557890388,0.668764528,0.613887329,0.3330591518,2.171500048
24,0.2042959733,0.4713122384,0.7935496888,0.5817546091,2.05091251
25,0.1963034177,0.5005166563,0.8824946263,0.656046119,2.235360819
26,0.3296470771,0.592776895,0.8580437352,NA,2.377518647
27,0.1277003967,0.4517468839,0.8917913882,0.6837429179,2.154981587
28,0.3220584879,0.5305989648,0.7160625273,0.4844451359,2.053165116
29,0.4853867934,0.6299259416,0.6516611396,0.3843180414,2.151291916
30,0.677077077,NA,0.5664362913,NA,2.245193403
31,0.6275318385,0.6747383889,NA,0.2123710912,2.005402609
32,0.7318621331,0.8165774946,0.6470532854,0.3080983535,2.503591267
33,0.7852821401,0.8616049146,0.6575727003,0.3008949369,2.605354692
34,0.6252576285,0.7776999356,NA,0.4263190753,2.583728452
35,0.5533205654,0.6398067677,0.5457107705,0.2786423687,2.017480472
36,0.5433771656,0.6259220133,0.5298920111,0.2687723132,1.967963503
37,0.1844927931,NA,NA,0.6469013216,NA
38,0.8523493827,0.8722571722,0.5552340669,0.1983953827,2.478236005
39,0.1785856628,0.5077597389,0.9348595475,NA,2.324816153
40,0.7446221295,0.7658653872,0.4947590962,0.1811662897,2.186412903
41,0.5464613037,NA,0.5755498896,0.3047943802,NA
42,0.2099128478,NA,0.8360259469,0.6144583842,2.152870247
43,0.2210854005,NA,NA,0.6444114813,NA
44,0.6346192075,0.7334885843,0.625074998,0.3189226579,2.312105448
45,0.5511296957,0.7565309601,0.8439022634,0.5204710379,2.672033957
46,NA,0.8018337611,NA,0.459593524,NA
47,0.0947353707,0.3969405626,0.8172488512,0.6331467559,1.94207154
48,0.7524676578,0.8116380828,0.5949285713,0.2598782097,2.418912522
49,0.4457969984,0.5987687022,0.6494380679,0.3941640259,2.088167795
50,0.3691572611,0.5792191214,0.7478045437,0.4962662454,2.192447172
51,NA,0.7005643575,0.5780070035,NA,NA
52,NA,0.6671065102,0.8344745228,0.5457999219,2.486466158
53,NA,0.6891784769,NA,0.428473325,2.36565618
54,NA,0.5992161387,0.6262956245,NA,NA
55,NA,0.8565657713,0.7073344286,0.3506808847,2.667435755
56,0.6870311386,0.760801033,NA,0.2774999958,NA
57,0.3768391336,0.6162930586,NA,0.5575615386,2.377074954
58,0.3523790671,0.6602397926,0.9841701632,0.6923790829,NA
59,0.4622438028,0.5815705877,0.5744489709,0.3286737845,1.946937146
60,NA,0.7293398832,NA,0.2198164142,2.153074329
61,0.5449351543,NA,0.5874896766,NA,NA
62,0.5107098641,NA,0.595423624,0.3313838535,2.064478383
63,0.4282544969,0.6146228257,0.72315253,NA,2.224975429
64,0.6478422563,0.8010402263,0.7697384467,0.4320407271,2.650661656
65,0.2200540832,0.4592706356,0.7328737368,0.5280437332,1.940242189
66,0.3542708232,NA,0.8736285061,NA,2.448108209
67,0.3809746967,NA,0.6299736892,0.3974861613,NA
68,0.1523388884,0.468557391,NA,0.672359707,2.179933038
69,0.2324922632,0.4710067497,NA,NA,NA
70,0.3994568672,0.6256786118,0.8064588337,0.5347955663,2.366389879
71,NA,0.6210478661,0.9614582511,NA,2.581041451
72,0.5408568213,0.6323741316,NA,0.2865828213,2.010809561
73,0.4416152926,0.6368703842,0.7534515151,0.4795224629,2.311459655
74,0.6504848954,NA,0.6912773803,0.3678023236,2.481472009
75,0.1621501331,0.4748905324,0.8837314548,0.6670915787,2.187863699
76,0.5816017956,0.6101834061,0.4166362311,0.1659258352,1.774347268
77,0.376438858,0.655482191,0.9258506806,0.638132504,2.595904234
78,0.7767664358,0.7979683851,0.513703538,0.1870347923,2.275473151
79,0.7410009385,0.8242993691,0.6489003073,0.3069043843,2.521104999
80,NA,NA,0.5642468844,NA,NA
81,0.484125964,0.6424616379,0.685660787,0.4121885883,2.224436977
82,0.465330764,0.6640509253,0.7762319701,0.4909726923,2.396586352
83,0.6157951827,0.6692088328,0.4994389306,0.2228417284,2.007284675
84,0.2833329049,0.5607989842,0.8667044395,0.6176777364,2.328514065
85,0.4289070007,0.5516404423,0.5632735571,0.3294397886,1.873260789
86,0.2924430872,0.6159375149,0.988026314,0.7131262578,2.609533174
87,0.58727584,NA,NA,0.4000008391,NA
88,0.2953890879,0.5515330021,0.8201485768,0.576476323,2.24354699
89,0.3101347457,0.6200258347,0.9642499995,0.6886919862,2.583102566
90,0.0965490328,0.3894835852,0.7949753366,0.6145979832,1.895605938
91,0.6299007686,0.7264225191,0.6163663456,0.3132666711,2.285956305
92,0.2604374899,0.5399473801,0.8582841618,0.6176011633,2.276270195
93,0.6059251763,0.6635827488,0.5042784351,0.2296589765,2.003445337
94,NA,0.4231086987,NA,NA,NA
95,0.5507711132,0.7176526743,0.7466771839,0.4419385714,2.457039543
96,0.7062568031,0.8227713476,0.711966588,0.3681327394,2.609127478
97,NA,NA,NA,NA,NA
98,0.7521623569,0.8226882783,0.6233466801,0.2829532393,2.481150555
99,0.5346816387,0.7093506482,0.7567555134,0.4548223598,2.45561016
100,0.6829223761,0.726435995,0.5142845964,0.21510596,2.138748928